BA6832FS,,,
,,,
Pin,Type,Name,Side
1,un,fin,bottom
2,un,fin,bottom
3,un,fin,bottom
4,un,fin,bottom
5,un,fin,bottom
6,un,NC,bottom
7,un,NC,bottom
8,un,GND,bottom
9,un,NC,bottom
10,un,OUT1,bottom
11,un,SENSE,bottom
12,un,VCC,bottom
24,un,fin,top
23,un,fin,top
22,un,fin,top
21,un,fin,top
20,un,fin,top
19,un,Vref,top
18,un,Vctl,top
17,un,Vrtr,top
16,un,RTR,top
15,un,CE,top
14,un,GND,top
13,un,OUT2,top
